stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,3.95,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0.74,0,22.2,1.85,0,0,0.37,0,0,0,0,0,0.37,0.37,0,1.11,0.37,1.48,0,0,7.03,1.48,0.37,2.22,0,0.74,0,0.37,0.37,0,0,0
3Month,0.1,0.42,10.92,1.66,0.1,0,0,0.52,0.62,0,5.82,1.46,0.31,6.14,0.42,1.14,0.83,1.14,0.31,0.52,55.34,0.21,0.1,4.47,0.1,0.94,1.77,0,0,0.31,0.73,0.42
22Month,0,0,3.96,0.27,0,0,0,0.55,0.27,0.14,6.29,0.41,0,1.09,0.14,0,0.27,1.37,0,0,3.14,0,0,1.23,0,0.14,0.41,0,0,0,0,0
