stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0.28,0,0.56,0,0,0
21Day,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0
3Month,0,0.31,0,0,0.42,0.21,0.62,0,0.21,0.31,0,0.1,0.21,0.1
22Month,0.14,0.14,0,0.14,0.14,0,0,0.14,0.14,0,0,0,0,0
