stage,Endothelial_cell,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.56,0,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0
3Month,0,0.1,0.52,0.62,0.21,0.1,0.1,0,0,0.21,1.56,0,2.91
22Month,0.14,0,0,1.5,0,0,0,0,0,0,0,0.27,0
