stage,Epithelial_cell,Granulocyte,Hepatocyte,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell
24hpf,0,0,0,0,1,0,5,0,0
72hpf,0.28,0,0,0,1.13,1.69,0.85,0.28,0
21Day,0.37,0,0,0.37,1.85,2.22,0,0.74,0.37
3Month,0.1,0.1,0.1,0,0,0,0,0,0
