stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,1.69,0,0,0,0,0.56,0.28,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0.37,0.37,0
3Month,0.1,0,0.73,0,0.1,0.31,1.87,0.31,0.73,0.21,0.62,0.42,0.1,0.21,0.21,0.1,0.1,0,0.42,32.04,0,40.15
22Month,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0
