stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,1,1,0,0,0,2,0,0,0,1,3,2,5,0,0,0
72hpf,0,0,0,0,0,0,0,0.85,0.28,0,0.56,0.28,1.13,0.56,0.28,0
21Day,0.37,0.37,0.37,0.37,0,0,0,0,0,0.37,1.11,0.37,0,0,0,0
3Month,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
22Month,0,0.27,0,0,0.14,0,0.41,0,0,0.14,0.55,0.14,0,0,0,0
