stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
72hpf,0,1.41,0,1.41,0,0,0,0,0,0,0,0,0,0,0,9.3,0.56,0,1.41,0,0.85,0,0.28,2.54,1.41,0,0,5.64,0.28,0,0,12.4,0,0
21Day,0.74,0,0.37,4.44,0.74,0,0.37,0,0,0,0,3.33,0,0.37,0.37,0,1.11,0,12.21,0,0,0.37,0,1.85,1.11,0,0,7.4,1.85,0,0.37,9.62,0,0.37
3Month,0,0.73,0.83,5.51,0,0.31,0,0.31,2.39,1.25,0.1,26.94,0.83,0.1,7.28,0.31,1.35,1.46,13.73,3.74,0,0.52,0.21,0.31,0,0.21,0,0,0.62,0.21,0,0.31,0.62,0.62
22Month,0,0.55,0.68,2.05,0,0,0,0,1.09,0.41,0.27,40.04,0.41,0.14,8.61,0.14,0,0.27,6.15,0.27,0.55,0.14,0,0.27,0,0.14,0.27,0.14,0,0.27,0,0.14,0.14,0
