stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.48,0,0.37,0,1.85,0.37,0,0,1.85,0,0,0,0,0,0.74,0,0,0,0.74,0,0,0,0,0.37
3Month,0.1,0,1.77,0.1,0.31,0,0.42,50.86,0,2.18,4.89,0.21,0.52,0.31,0.42,13,0.94,0.21,0,0.42,0.21,0,0.21,0,0,0.21,0.21,0.1,0.1,0.52,0.94
22Month,0,0.27,0.68,0,0.96,0.14,0.14,71.06,0.14,4.1,2.19,0.41,0.41,0,0.14,15.03,0.41,0,0.14,0,0,0.14,0,0.14,0.14,0,0.14,0,0,0,0.82
