stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,7,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0.28,0.85,0.85,0,0,0.28,9.02,2.54,0,1.13,0,0,0,0
21Day,0,1.11,0.37,0,0,0,0,0,0,0,0.74,0,0.37,0,0.74,0,0,0.74,0.37,0.37,0,0
3Month,0,0.31,0,0.1,0,0.21,0.1,0.21,0,0,0.31,0.21,0,0,0,0,0.1,0,0,8.95,0.1,7.07
22Month,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.55,0,0
