stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,1,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0
72hpf,0,0.28,1.13,0.56,0,0,0,1.41,0,0,0.56,4.51,0,0,1.13,0
21Day,0,0,0.37,0,0,0,0,1.48,0.37,0,0.37,1.85,0.37,0,0.74,0
3Month,0,0,0.52,0.62,0.42,0.1,0.42,5.72,0.1,0.31,0,0.21,0,0.1,0.1,0.1
