stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0.56,0,0.56,11.56,1.41,0,0.28,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0.37,6.29,0,0,1.11,0.37,0.37,0
3Month,0,0.21,0.1,0.1,0.73,0.21,0,0.42,0,0.42,0.42,0,0.1,0,0,0,1.98,1.04
22Month,0,0,0,0.14,2.05,0,0.14,0,0,0.14,0.14,0.14,0,0.14,0.14,0,0.41,0
