stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,2,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,2.25,0.85,0.28,0,0,0,0
21Day,0.37,0,0.37,0,0,0,0.37,0.74,0.37,0.37,0,0,0,0
3Month,0,0.1,0,0,0.94,0,0,0,0,0.1,0.1,0.31,0.1,3.54
22Month,0,0,0,0.14,2.73,0.27,0.14,0,0,0,0,0.68,0,0
