stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0.56,0,0.28,0,0,0,0,0,0,0,0.28,1.69,0,0.28,0,0.28,0.28,0,5.07,3.1,0,0,0,0.28,0,0,0.56,0,0,0,0
21Day,0.37,0.37,4.81,0,1.85,0,0.37,0,0.37,0,0,0,1.48,0,1.11,2.22,1.11,0.37,0,0,0,0,3.33,2.22,0,0.37,0,0.74,1.11,0,0.37,0,0,0,1.85
3Month,0.31,0.42,7.59,0.21,0,0.21,0.1,0.73,2.6,0,8.43,2.18,0.42,3.85,0.1,2.29,2.18,1.14,0.1,0,0.42,0.73,0.31,0.1,0.52,0.1,0,0.31,0.21,9.36,0,0.1,0.62,5.82,3.22
22Month,0.41,0.27,2.6,0,0,0.14,0.27,0.55,7.24,0.96,21.04,2.19,1.37,6.15,0.27,1.23,4.37,1.78,0,1.37,0.41,0.14,0.14,0,0.27,0.14,0.41,0.14,0,2.73,0,0.14,0,0,1.5
