stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0.28,0,0.56,0,0,0,0,0,0.56,1.13,0,0,0.56,0,0,0.56,0,0
21Day,0.37,0,0,0,0,0,0.74,0,0,0,0,1.48,0,0,0.37,0,0,0,0,0.37,0,0,0,0.37
3Month,0.1,0.62,0.1,0.1,0.73,0.1,0.21,0.31,0,0.21,2.7,0.31,0,0.1,0.1,0,0,0,0,0,1.87,0.1,0.73,0.31
22Month,0,0.41,0.14,0,2.05,0,0.14,0.27,0,0,0.55,0.27,0.14,0,0,0,0.14,0.27,0,0.14,0.41,0,0,0
