stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,4,8,0,0,0,0,0,0,0
72hpf,0.56,0.56,0,0.28,0.28,0,0,0,0,0,1.13,0,1.41,0,0,29.03,5.64,6.48,2.82,0,0,0.28,0,0,0
21Day,0,0,0,0.74,0,0,0.37,0.37,0,0,0,0,1.48,0,0,8.14,1.11,3.33,0,0.37,0,0,0.37,0,0.74
3Month,0,0,0,0.42,0,0,0,0,0.62,0.21,0,0,0.52,0,0.1,0.94,0,0.42,0,0,0,0,0,0.83,0.42
22Month,0,0,0.14,0.55,0,0.14,0.14,0.27,2.05,0.27,0,0.27,0.14,0.14,0,0.14,0,0.14,0,0,0.27,0.14,0,0,0.14
