stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0
72hpf,0,0,0.28,0,0,0.28,0,0.28,1.69,0.85,0,0.28,0,0.56,0
21Day,0,0,0,0,0.37,0,0,0,1.48,0.37,0,0,0,0,0.37
3Month,0,0.21,0,0,0.1,0.1,0.1,0.31,0,0,0.1,0,0.1,0.1,0
22Month,0,0.14,0,0.27,0,0,0,0,0,0,0,0,0,0,0
