stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,17.19,0.28,0.56,0,0,0,0,0,0,0,106.82,0,0.85,0,0,0,0,5.36,3.1,0,0,0.85,0,0,0.56,0,0.56,0,0,0
21Day,0.37,0,0,14.8,0,0.74,0,0,0,0.37,0.37,0.37,0,39.22,0,0.74,0,0,0.37,0,0.74,0.37,0,0.74,0.74,1.48,0,0,0.37,0.37,0,0,0
3Month,0,0.21,0.1,3.33,0,0,0.1,0.21,0.62,1.87,0.62,0.62,0.1,77.28,0.31,0.52,0.1,0,0,0.21,0,0,0.21,0,0,0.42,0.42,0,0,0.1,0.21,0.52,0.42
22Month,0,0,0,0.27,0,0,0,0,0.27,2.6,0.14,0.27,0,9.16,0.14,0,0,0.14,0,0,0,0,0,0,0.14,0,0.41,0,0,0,0,0,0
