stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.56,0,0,0,0,0,0,0.28,0,0.85,0.56,0,1.41,0,0,0,0,10.71,2.54,0,0,1.69,0,0,1.13,0,0,0
21Day,0,0,0,2.96,0.37,0.74,0,0,0,0,0.74,0,0.74,0.37,0.37,0.37,0,1.11,0,0,0.74,0,7.03,1.85,0.37,0,1.85,0,0,0.74,0,0,0.37
3Month,0,0.31,0.21,2.29,0,0,0,0.21,0.83,0,14.56,0.1,0,2.39,0.1,0.31,0.42,0.62,0.42,0.1,0.31,1.25,0,0.1,0.21,0.21,0,0.31,0.21,0,0.31,0.42,0.42
22Month,0,0.27,0.27,1.09,0,0,0.14,0,0.41,0.41,22.41,0.14,0,1.78,0.14,0,0.14,0.27,0,1.64,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0.14
