stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
21Day,0.74,1.11,0,0,0.37,0.37,1.11,0.37,0.37,0.37,0,13.32,0,0.37
3Month,0,0,0,0.21,0,2.39,0,0.1,0,0,0,0.1,0.21,0
22Month,0,0,0.14,0.82,0,4.1,0,0,0,0,0.14,0,0,0
