stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,1,0,0,1,0,1,0,0,1,0,0,0,43,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0,0,0,2.96,0,0,0.37,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0,0,2.96
3Month,0,0.31,0.21,0,0.31,24.13,1.14,9.99,0,0.52,0.21,0.52,3.95,0.31,0,0,0.42,0,0,0,0,0.21,0.31,0.1,0.21,4.78
22Month,0.14,0.55,0.27,0.14,0.41,50.56,5.19,2.73,0,1.09,0,0.27,7.93,0.27,0.27,0,0,0.14,0,0.14,0.14,0,0.27,0,0,4.37
