stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0.56,0.28,1.41,2.25,0,0.28,0.28,0,0
21Day,0.37,0.74,0.37,0.37,0,0.37,0.37,0.37,0,2.96,2.59,0.74,0.37,0.74,0,0,0
3Month,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0.1,0,0.1,0.1,0.21
22Month,0,0,0,0,0.14,0,0,0.14,0,0,0,0,0,0,0.14,0,0
