stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,232,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,1,10,0,0,1,0,0,0,0,0,0,0,0
72hpf,40.87,0,0,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0.56,0,0.85,0,0,0,2.25,2.54,0,0,0,0.28,0,0.28,0,0,0,0,0
21Day,75.11,0,0.37,1.11,0,0.37,0,0,0.37,0,0,0,0.37,0,0,1.48,0,1.85,0,0,0,0.74,0.37,0,0,0.74,0,0.74,0,0.37,0.37,0,0,1.11
3Month,1.25,0.1,0.1,1.25,0,0,0.1,0.21,0.1,0,0,1.35,0.83,0.42,0.21,0,0.21,0.83,0,0.42,0.1,0.1,0,0.1,0,0,0.1,25.9,0,0,0,0.42,4.89,0.21
22Month,0.14,0,0,0.41,0,0,0.14,0,0.41,0.55,0,1.09,0,0.41,0.14,0,0,0.27,0.14,0.14,0,0,0.14,0.14,0.27,0,0,7.79,0,0,0,0,0,0
