stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0.28,1.69,0,0.28,0,0,1.41,0.28,0,0.56,0,0,0,0.28,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0.74,0,0,1.48,0,0,0.37,0.74,0,0.37,0,0,0,0
3Month,0.1,0.1,1.25,0,0.1,0.1,0.1,1.56,0.1,0.21,0.62,0.21,0.21,0.1,0.1,0,0.1,0.31,0,0,0,0.21,5.93,0,0,0.31,10.4,0.1
22Month,0,0,0,0,0,0,0,3.28,0,0,0.14,0,0,0.41,0.41,0.27,0,0,0,0.14,0,0,0.27,0,0,0,0,0.14
