stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.37,0,0,0,0,0,0
3Month,0.1,0.94,0,0.1,0.52,0.1,2.29,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.08,0.1,2.81,0.21
22Month,0,0,0.14,0,2.05,0,1.91,0,0.14,0,0,0,0,0,0,0,0.55,0,0,0
