stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,2,1,4,0,0,0,0,0,0,2,2,7,0,0,39,0,0,0,0,0,0
72hpf,0,0,0.28,0.28,0,0,0,0,0,0.28,0,0,0,0.56,3.38,0.28,0,0.56,0,0,0
21Day,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0,0,0.1,0,0,0.1,0,0,0,0,0.1,0.1,0.1,0,0,0,0.1,0,0,0.31,0.1
22Month,0,0,0,0,0,0,0.96,0,0.14,0,0,0,0,0,0,0,0.14,0,0.14,0,0
