stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0.28,0,0,0,0,0,0,0.85,0,0,0,0,26.21,1.13,0,1.13,0,0,0.28,0,0,0,0
21Day,1.85,0.74,2.59,0.37,0,0,0,0,0.37,0,0.74,1.48,0,0.37,14.43,0.37,0.37,0,0.74,0,0,0.37,0.37,0,0.37
3Month,0,0.42,0,0,0.1,0,2.29,0,0,0.31,0.21,0.1,0,0,0.21,0,0,0,0,0.52,0,0,0,0.42,0
22Month,0,0.27,0,0,0,0.14,5.06,0.55,0,0,0.27,0.27,0.27,0,0,0,0,0,0,0.27,0,0,0,0,0.14
