stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,1,1,2,0,0,3,2,40,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,2.54,3.66,0.56,0,0,0,0,0,0,0,0,0,1.41,1.69,0,0.28,0,0,0,10.99,8.74,0.56,0,0,0.28,0,0,5.36,0.28,0,0.28,0,0,0
21Day,0,0,1.48,3.7,1.85,0,0,0,0,0,0,0,0.74,0,0,1.85,0,0.74,0,0,0,5.18,2.59,0,0.37,0,0,0,0.37,4.07,0,0.37,0.74,0,0,0.37
3Month,0.73,0.62,31.31,1.25,0,0.52,0.1,1.98,3.22,0,15.39,4.47,0.1,5.82,5.2,3.54,3.64,3.43,0.31,0.73,3.22,9.88,0.31,1.46,0.94,0,0.42,1.66,24.44,0.42,0.1,0,0.42,1.66,441.14,3.12
22Month,0.14,0,9.7,0.14,0,0,0,0.14,0.55,0.14,3.96,0.14,0.14,0.41,0.27,0.27,0.82,0.55,0,0.14,0,1.09,0.41,0.55,0,0.14,0,0.14,7.65,0.27,0,0,0.14,0,2.05,0.27
