stage,Cardiomyocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,1,0,1,0,0,0,0
21Day,0.37,0,0.37,0,0,0.37,0,0,0.74,1.11,0.37,0,0
3Month,0,0.1,0.42,0.21,0.1,0,0.1,0.1,0.1,0.1,0,0.21,0.1
22Month,0,0,0.14,0.68,0,0,0,0,0,0,0,0,0
