stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,13,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.85,0,2.82,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0.56,0.85,0,2.54,0,0,0.28,0,23.96,5.92,19.17,1.13,0,2.54,0,0,2.54,0,0,0.28,0,0,0
21Day,3.33,2.22,0.37,17.39,0.37,1.48,0,0.74,0,1.48,0.37,0,0,0.37,0,0.74,0,1.48,2.96,0,4.07,0,0,2.22,0,34.78,8.14,36.63,3.33,0,1.11,1.85,0,8.88,0,0.37,0.37,0,0,0.74
3Month,1.35,11.86,1.56,63.03,0,0,0.1,0.1,0.21,193.06,4.16,0.31,0,16.95,5.93,0.1,15.81,1.25,6.76,3.43,7.7,1.66,0.31,39.21,2.18,3.33,0.83,182.24,1.14,0,0.31,2.18,4.37,1.46,0,0,0.21,1.25,3.85,2.39
22Month,0.27,4.78,0.96,32.25,0,0,0.41,0.14,0,80.08,3.42,38.26,0,24.19,1.23,0.41,17.08,0.27,6.29,2.05,6.56,0.14,1.09,49.19,0,1.5,0.41,172.31,1.23,0.41,0.27,0.68,1.23,1.37,0.41,0,0,0.14,0,0.96
