stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0,1.85
3Month,2.18,0.1,0.94,5.1,0.94,1.56,0,0.1,0.21,0.42,0.42,0.21,0.1,0.21,0.31,0.42,0.31,8.01
22Month,0.14,0,0,0,0.55,0,0,0.41,0,0,0,0,0,0,0.27,0,0,0.14
