stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,1.41,1.41,1.69,0,0.56,0,0,1.41,0.28,0,0,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0.37,1.11,0.74,0.37,0,0,0
3Month,0,0,0.1,0.94,0,0.1,0.31,5.82,0.1,0.1,2.7,0.21,0.21,0.52,0.1,0.73,0,0.1,0,0,0.21,0.21,0.21,0,0,0,0.1,0.21,0.31
22Month,0,0.14,0.27,0.41,0,0.27,0.82,9.57,0.41,0.14,1.23,0,0.27,0.96,0,0,0,0,0.14,0,0,0.82,0,0.14,0,0,0,0,0
