stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,5,0,0,0,0,0,0,0,0,2,0,1,8,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.85,0.56,0,1.13,0.28,0,0,0,0,0,0,0,0.56,0.56,0,6.2,0,0,1.13,0,50.17,5.36,0,0,0,1.41,0,1.69,0,0,0.28,0,0,0
21Day,0.74,0.37,0,0.74,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0.37,0,8.14,1.48,0,0,0,0,0.74,4.44,0,0,0.37,0,0.37,0
3Month,0.1,0.62,0,2.39,0,0.1,0.62,0.52,0.1,2.7,0.52,1.14,0.21,0.62,0.21,1.77,0.21,0,1.66,0.21,0.52,0,0.1,0,0,0.83,0.31,56.07,0.21,0,0,0.52,3.95,0.52
22Month,0,1.23,0.14,2.32,0,0.14,0.41,1.5,2.87,13.66,0.82,1.5,0,0.14,0.68,2.46,0,0.14,0.27,0,0.41,0,0.14,1.5,31.43,0.27,0.14,30.47,0.82,0.14,0.14,0.14,0,0.27
