stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,1,6,0,2,89,2,0,0,0,0,0,0
72hpf,0,1.13,0.85,0,0,0,0.28,0,1.69,0,3.1,12.4,1.97,0,0.28,0,0,0,0
21Day,2.59,2.59,7.77,1.85,1.11,0.37,0,0.37,2.22,0.37,1.85,11.1,1.48,0,0.74,1.11,0.37,0,1.48
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0.1,0.1
