stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0.28,0.28,0,0.28,17.76,0,0.28,0.56,0,0
21Day,0,0.37,0.37,0.74,0,0.37,21.46,0,0,0,0,0
3Month,0.21,0,0,0,0.1,0,0.52,0.1,0,0,0.1,0.1
22Month,0,0,0,0,0.14,0,0,0,0,0,0,0
