stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,98.65,0.85,0.56,0.56,0.28,0,0,0,0,0,0,0,0,0,0.56,0.56,0,0.85,0,0,0,3.95,3.1,0,0,1.69,0,0,0.28,0,0,0.28,0,0,0
21Day,86.58,0,0.74,0,0.37,0,0,0,0,0,0.74,0,0,0,0,0,1.11,2.22,0,0,1.11,0.37,1.11,0,0.37,0.74,0.37,0,0,0.74,0.37,0,0,0,0
3Month,2.91,0.73,0.94,0,0,0,0.1,0.21,0.21,0.1,1.35,0.1,0.1,0.21,0.1,0,0.1,0.42,0.21,0,0.42,0,0,0,0,0.1,0,2.29,0.1,0,0,0,0.1,0.73,0
22Month,0.55,0.27,0.68,0,0,0.14,0,0.14,0.41,0.14,7.79,0.27,0.27,1.09,0.14,0.27,0.41,0.68,0.14,0.27,0.14,0.14,0,0.14,0,0,0,0.82,0,0,0,0,0,0,0.27
