stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,59,0,1,0,0,0,0,0,0,0,0,1,0,1,13,0,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,15.22,0.56,34.39,0,0,0,0,0,0,0,0,0.56,26.21,0,3.66,0,0,0.28,0,5.36,3.1,0.28,0,0,3.66,0,0,0.56,0.56,0,0,0
21Day,1.11,0,0,33.67,2.22,45.14,0,3.7,0,0,0,0,0,0.74,1.48,10.73,0,4.44,0,0,0.37,0,9.25,1.85,0,0.74,0,1.85,1.11,0,0.74,0.37,0,0,0
3Month,0.31,0.42,0.21,17.89,0.1,0,0.21,0,0.31,0.62,1.87,0.52,0,1.04,0.21,23.72,1.98,6.35,1.46,0,0.83,0.21,2.6,0.21,0.73,1.35,0,0,0.21,6.55,0.21,0.1,0.73,37.65,0.62
22Month,0,0.41,0,3.55,0,0,0,0.14,0,0.27,3.01,0.14,0.14,0.27,0.27,2.19,0.55,1.78,0.14,0.27,0.55,0.14,0.41,0,0.14,2.19,0.14,0,0,0.41,0.27,0,0,0,0.27
