stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.38,0.28,8.74,0.56,1.97,0.28,0,0.28,0.28,0.56,381.06,0.56,5.07,0.28,27.62,13.25,4.23,0,0,1.13,0,0,0
21Day,0,0,23.68,0,1.11,0,0.37,0,0,0.74,66.97,0,1.85,0,0.37,0.37,0.37,1.11,0,0,0.74,0.37,0.37
3Month,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.1
22Month,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0
