stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,1.41,0.28,0,0,0,0,0,0,0,0,0,0,2.25,0,0.85,0,0,0,5.64,2.54,0,0.28,1.13,0.28,0,0.56,0,0,0,0
21Day,1.11,0.37,0,6.66,0.74,1.48,0,1.11,0,0.74,0,0,0.74,0.74,0.37,3.7,1.85,4.81,0,0.37,0,4.44,2.59,0.37,0,0.74,0,0,1.11,0.74,0.37,0,1.11
3Month,0,0,0.1,1.04,0,0,0,0,0.52,0.31,0,0.42,0,0.94,0,0.31,0.31,0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0.62
22Month,0,0.41,0.27,0.68,0,0,0.14,0,0.14,1.09,0.55,2.05,0,0.55,0.14,0.14,0.14,0.41,0.14,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0.68
