stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Muscle_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,0,0,0,0,0,0.28,0
21Day,0,0.37,0,0,0,0,1.11,0,0.37,0
3Month,0,0.83,0.1,0,0.1,0.21,0,0.1,0,0.1
22Month,0.14,0.14,0,0.27,0,0.14,0,0,0,0
