stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,8,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,1.13,0.28,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,4.07,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0.37,0.37,0,0,0,0,0
3Month,0,0.21,0,0.42,0,0,0.62,0.31,0.1,0.1,0,5.2,0.42,0,0.31,0.31,0.1,0.62,0.42,0,0.21,0,0,0.1,0,0,0,0,0.83,0,0,0,0.1,1.25
22Month,0.14,1.37,0.68,2.32,0.14,0,0.68,0.27,0.27,3.42,4.37,42.91,0.55,0.14,0.68,0,0.41,0.96,1.37,1.37,0.68,0.27,0,0.14,0.14,30.61,0.27,0,0.55,0.27,0,0.14,0,0.68
