stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0,0.85,0.28,0,0.85,0,0,0,12.97,1.97,0,0,0.28,0,0,0.28,0,0.28,0,0
21Day,0,0.37,0,0.37,0,0,0,0,0.37,1.85,0.37,0,1.85,0,0,0.74,9.99,1.11,0.37,0.37,2.22,0,0,0.74,0,0,0,0
3Month,0.1,1.98,0,0,0,0,0.1,0.42,0.21,0.52,0.1,0.1,1.25,0.21,0,0.21,0.1,0.21,0.62,0,0,0.1,0.21,0.31,0,0.1,0.1,0.21
22Month,0,1.23,0,0,0.14,0.27,0.14,2.32,0.27,0,0,0.14,0.55,0,0.14,0,0.14,0,0.96,0,0.14,0,0.14,0.27,0.14,0,0,0
