stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.48,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.73,0.1,1.87,0.42,0,0.42,82.8,0,2.29,25.28,0.42,0.94,0.42,0.73,1.98,0.52,0.1,0,0.31,0.52,0.1,0.21,0.83,1.14,0.21,0.1,0.52,1.77
22Month,0.14,0.14,0,0.41,0.55,0.14,0,90.6,0.14,1.91,5.33,0.27,0.14,0.14,0.14,2.46,0.41,0,0.14,0,0.27,0,0.14,0,0,0.41,0.27,0,0.27
