stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,5.36,0.56,0,0,0,0,0,0.56,0.85,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44,0,0,0,0.37,0,0,0,0.37,0,0,0
3Month,0,0,0,0.52,0,0.1,0,0.42,0,0,0.42,0.1,0,0.21,0,0.1,0,0.1,0,0.21,0,0,8.01,0,0,0,0.1,1.14,0.1
22Month,0.27,0.68,0.14,0.96,0.14,3.69,1.91,11.21,0.41,0.14,1.64,0.14,0.96,0.96,0.55,0.27,0.14,0.27,0,0.27,46.19,0,1.78,0.55,0.55,0,0,0,0.27
