stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell
24hpf,0,0,0,0,0,0,0,1,0,5,0,0,0,0
72hpf,0,0.28,0.28,0.28,0,0,0,0.56,6.76,1.97,0.28,0,5.36,0.28
21Day,0.37,0,0,0.37,0.37,0.37,0.74,1.48,5.18,2.22,0.37,0.37,1.48,0.37
