stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,18,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,15,1,0,0,0,0,0,0,0,0,0
72hpf,0.85,2.82,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,1.13,0,0,0,88.5,5.07,0.28,0.28,1.69,0,0,0.85,0,0,0,0
21Day,0.37,1.48,0.37,1.85,0,0,0,0,0,0,0,0,0,1.11,1.48,0,0.37,0.74,2.96,0,0,0,38.48,3.33,2.22,0.37,1.11,0.37,0,2.22,0.74,0,0,0.74
3Month,0,3.64,0.42,8.95,0,0,0.1,4.68,0.83,0,0,5.72,1.25,0.83,4.26,0.31,0.94,0.52,1.25,0.1,0.1,0.21,16.43,0.1,14.77,0.1,0.21,0.52,3.74,0.21,0,0.52,141.46,1.46
22Month,0,0.82,0.14,1.23,0,0.14,0,1.09,0.41,0.41,0,3.69,0,0.55,1.91,0,0,0.82,0.27,0.14,0.14,0.14,6.42,0.27,9.16,0.27,0.14,0,0,0.41,0,0,0.27,0.41
