stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,1.97,0.56,0.56,0,0.28,0,0,0,0,0,0,0,1.13,3.1,0,1.13,0,0,0,0,20.01,4.23,0,0,1.69,0,0,0.56,0,0,0,0
21Day,0.74,0,8.51,0,0.37,0,1.11,0,0.37,0,0,0,1.85,0.74,0.37,2.22,2.22,5.55,0,0,0.37,0,14.43,3.7,0.37,0,4.44,1.11,0,0.74,0,0,0,1.48
3Month,0.73,0.31,3.64,0,0,0.1,0.1,1.25,0.52,0,2.91,0.31,0.42,1.35,0.62,1.66,0.83,1.14,0.1,0,0.31,0.1,0.42,0,0,0,0.1,0.21,2.18,0.1,0.1,1.35,1.87,1.56
22Month,0,0.14,1.5,0,0,0,0,0.41,1.23,0.27,6.29,0.55,0.41,1.09,0.14,0.14,0.96,0.68,0,0.41,0,0,0,0,0.14,0.14,0,0.14,0.55,0.14,0,0,0,0.96
