stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,0.28,8.74,0,0,0.28,0,0,0,0
21Day,0.37,1.11,0.37,0,0,0,0,0.74,0,1.11,6.66,0,0.37,0,0.37,0.37,0,0
3Month,0,0.31,0,0,0.42,0.1,0,0,0.1,0,0.1,0,0,0,0,0.21,0.52,0.1
22Month,0.14,0.14,0,0.14,2.32,0.14,0.27,0,0.14,0.55,0,0,0,0,0,0.27,0,0
