stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0.37
3Month,0.1,0.62,0.42,6.55,0.42,0.21,0.21,1.04,1.98,0,17.99,2.39,0.52,2.91,0.62,2.29,1.77,3.22,0.83,0,0.94,0.62,0.21,0.62,0.31,0,0.52,1.14,2.6,0,0,0.73,0.94,2.7
22Month,0,2.6,1.37,4.92,0,0.41,0.27,1.23,5.33,2.19,96.2,3.55,2.32,7.24,0.14,1.64,4.51,7.93,0.41,1.23,0.82,0,0.14,0.68,0.82,0.41,0.41,0.14,1.5,0.41,0,0.41,0,1.37
