stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,3.95,0,0.56,0,0,2.25,0.56,0,0,0.28,0,0,0,0.85,0.28,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0.74,0,0,1.85,0.37,0.37,0,1.11,0.37,0,0.74,0,0.37,0,0,0.37
3Month,0.1,0.1,0.1,0,0.21,0.31,0.73,0.42,0.1,0.42,0.21,0.52,0.21,0.1,0,0,0,0,0,0.1,13.21,0.31,0,0,0.1,0.83,0.21
22Month,0,0,0.14,0,0,0,2.19,0,0,0,0.14,0.27,0,0,0,0,0,0.27,0,0,0,0.68,0.14,0,0,0,0
