stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Spermatocyte,T_cell
3Month,0.42,0.94,0.1,0.52,35.47,0.1,1.14,0.1,0.42,0.21,0.31,0.1,0.1,0.1,0.1,0.94,0.42,0.21
22Month,0.14,0.41,0,0.41,11.62,0,2.05,0,0.27,0.14,0.27,0.41,0.27,0,0,0,0,0.14
