stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,2,2,5,2,2,1,0,0,0,0,0,0,3,1,5,21,0,0,7,99,2,0,0,0,1,0
72hpf,2.25,0.56,3.38,0.28,0.85,0,0,0,0,0,0.56,0,1.69,3.38,0.28,1.97,1.41,0,8.74,11.27,3.1,0.28,0,0.56,0.28,0
21Day,5.18,0.74,9.62,0,0.74,2.96,0,0,0,0.37,1.85,0.37,0.37,4.44,1.11,13.32,0,0.37,2.96,7.4,4.44,1.11,0,0,0.37,1.48
3Month,0,0.1,0.94,0,0,0,0.21,0.21,0,0.42,0,0.73,0.1,0.31,0.21,0.21,0,0,0,0,0,0.1,0.52,0,0,1.04
22Month,0,0.14,0.41,0,0,0.14,0,0.27,0.27,1.5,0.14,0,0,0.14,0.41,0.14,0.14,0,0,0,0,0,0,0,0,0
