stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,3.38,0,0,0,0,0,0,0,0,0.28,0.56,0,0.56,0.28,0,2.25,3.95,0.28,0,1.13,0.28,0,0.28,0,0,0,0,0
21Day,0.74,0,0.37,0.74,2.96,0,0,0,0,0,0,0,0,0.37,0.37,0.37,0.74,0,0,2.59,0.37,0.74,0.74,0,0,1.11,0,0.74,1.11,0,0,0
3Month,0.94,0.52,0,1.77,0.21,0,0.42,0.21,0,1.98,0.31,0,0.62,0.1,0.31,0.1,0.73,0.21,0.21,0.21,0,0.83,0.83,0.21,0,3.54,0,0,0,0.31,0.83,0.21
22Month,0.14,0.27,0.14,1.37,0.68,0.27,0,0.96,1.37,8.2,0.41,0.14,0.82,0,0.14,0.27,1.37,0.55,0,0.27,0,1.23,0.82,0,0,4.78,0.14,0,0,0.14,0,0.27
