stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0.28,0,0,0,0,0.28,0.28,3.38,0,0,0,0.85,0,0
21Day,0,0,0,0,0,0.37,0,0.74,0,0.37,0,0,0,0
3Month,0,0.31,0.21,0.62,0.31,0.21,0,0,0.1,0,0.1,0,0.1,11.34
