stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,1,5,0,0,0,0,0,0,0,0,0,2,13,9,17,0,0,1,5,111,1,1,0,0,0,0,0,0,0,0
72hpf,0.56,0.85,0.56,0.28,0.28,0,0,0,0,0,0,0,0.28,0.85,0.28,0.85,0.56,0,0,1.69,3.1,0,0.28,0,0,0,0.28,0,0,0,0
21Day,0.37,0,1.11,0,0.37,0.74,0,0.37,0.37,0,0.74,0,0,0.74,0.37,4.44,0,0.37,0,0,5.18,0,0.74,0,0,0,0.37,0,0,0,0
3Month,0.1,0.21,0.42,0,0,0,0.1,0.42,1.98,1.14,0,0.21,0,0.1,0.42,0.31,0,0,0.31,0,0,0,0,0.21,0.21,0,0,0,0.42,0.21,0.21
22Month,0,0,0.82,0,0,0,0.41,0,2.19,0,0,0.96,0,0,0.41,0,0,0,0,0,0,0.14,0,0,0,0.14,0,0.14,0,0,0.14
