stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,34,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
72hpf,18.6,0.28,0,0,0,0,0.85,0,0,0,0,1.13,0.85,0,0.28,0,0,0,0.28,0,0
21Day,13.32,0,0,0,0,0,0.37,0,0.37,0,0,1.11,0,0.37,0,0,0,0.37,0,0,0
3Month,0.52,0.42,0.21,0.73,0.31,0.1,0.21,0.21,0.42,0,0.1,0.1,0,0.31,0,0.21,2.91,0,0,1.35,0.1
22Month,0.14,0.27,0,0.41,0,0,0,0,0,0.14,0,0,0,0,0,0,0.41,0,0,0,0
