stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0.85,0,39.18,3.38,0.28,0.56,0.28,0,0,0.28,0,0.28,0,0,0
21Day,0,0.37,0.74,0.37,0.74,0,0,0,0.37,0.37,0,0,0.37,0,2.96,0.74,15.17,1.85,0,0,0.74,0,0.37,1.48,0.37,0,0.37,0,0
3Month,0.1,0.52,0.52,0,0,0.1,0.1,1.04,1.04,19.45,0.31,0.21,0.31,1.46,0.42,0.21,0.42,0.1,0.42,1.14,0,0.1,1.35,0,0,0,0,0.1,0.21
22Month,0,0.14,0,0,0,0,0,0,1.5,2.32,0,0,0,0.14,0.41,0.14,0,0,0.14,0.41,0,0,0.14,0,0,0,0,0,0.14
