stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,6,0,0,0,0,0,0
72hpf,0,0,0.28,18.32,0.28,0,0,0,0,0,0,0,2.82,0,0,0,0,2.25,0.85,0,0,0,0,0,0
21Day,0.37,0.37,0.74,13.69,0,0,0,0,0,1.48,0,0,4.07,0,1.48,0.37,0.37,1.85,0.74,0,0.37,0.74,0,0,1.85
3Month,0,0,1.77,4.47,0,0.31,1.25,1.25,1.56,0.94,0.31,0.21,0.42,1.04,0.42,0,0.1,0.21,0,0.21,0.42,13.21,0.21,1.98,13.52
22Month,0.14,0,1.23,1.64,0,0,1.09,3.69,0.14,0.41,0.14,0,0,0.41,0.27,0.14,0,0.27,0,0,0.14,6.7,0,0,1.5
