stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,3.38,0,0,0,0,0,0,0,0,0,0.56,1.69,0.28,3.38,0,0,0.28,0,0.56,0,0,3.95,0,0,0,0.28,0,0,0,0
21Day,0,1.11,0,2.96,0,4.44,0,3.33,0,0,0,0.74,0,1.48,0,0.37,0,0.37,7.03,0,1.11,0,0.37,0,0,0,1.48,0.37,0,0,0,0,0,0,0
3Month,0,3.33,0.31,18.62,0,0,0.83,1.56,2.5,6.14,0.21,1.77,3.43,3.22,1.04,1.25,3.54,12.27,17.58,3.22,1.14,5.41,0.62,0,0.83,0,0.52,0.52,0.1,8.43,0,0.1,8.11,1.77,2.7
22Month,0,4.78,0.14,4.78,0,0,0.41,0.41,0.14,3.55,0.68,8.75,1.91,2.6,0.41,0,0.27,7.93,8.47,0.14,0.27,0.27,0,0,0.14,0.14,0.14,0,0,0.41,0,0,0.55,0,0.82
