stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,1.41,0,0.56,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0
21Day,0,0,0.37,1.48,0,0,0,0,0.37,0,0,0,0.37,0,0,2.96,1.11,1.48,0,0,0.37,0,0.37,0,0,1.48,0.37,0,0,0.37,0,0,0
3Month,0,0.83,0.1,5.41,0,0.1,0.21,2.18,2.5,0,7.7,2.39,0.42,2.18,0.21,1.04,1.46,1.98,0.21,0,1.04,0.1,0.1,0.1,0.21,0.1,0.31,2.18,0,0,0.21,0.21,3.95
22Month,0,0.41,0.41,1.5,0,0,0,1.37,5.06,0.82,18.86,0.82,1.37,3.69,0.14,0.14,4.51,0.96,0.14,0.41,0.27,0.14,0,0.14,0.14,0.14,0,0.27,0.14,0,0,0,1.23
