stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0.56,0.56,0,0.28,0,0,0,17.19,0.56,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0.74,0,0.37,0,0,0,0,0,0,0,0.37,0,0.37,0,0.37,0,0,0,0,0.37
3Month,0.1,0.1,1.98,0,0.21,0.1,0.42,88.21,0.62,1.35,0.31,0.73,0.62,0.73,0.42,0.42,0.31,0,0,0.21,0.21,0.62,0.42,0.1,0.1,0.42,0.73
22Month,0,0,0.41,0,0.14,0,0.82,28.42,0.41,0.41,0,0,0.41,0.68,0.41,0,0,0,0.14,0,0.14,0,0.41,0,0,0,0.14
