stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.85,6.48,0,0,0,0.56,0,0,0.28,0,0,0,0
21Day,0.37,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0.37,2.96,0,5.55,6.66,2.96,0,0.37,0.37,0,0,0,0.37,0,0,0
3Month,0,0.1,1.87,3.54,0,0.1,2.39,0.42,0,1.87,0.31,22.47,0.1,0.21,0.31,0.94,0.21,0.1,0,0,0.1,0,0,0.1,0.21,0,0,0.73,1.66,0.42
22Month,0,0.55,0.96,2.73,0,0,3.28,0.14,0.14,2.32,0,23.91,0,0,0.14,0.41,0,0,0,0,0.27,0.55,0,0.14,0.14,0,0,0,0,0.41
