stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,1.69,0.56,0.28,0,0,0,0,0,0,0,0.56,0,0.56,3.66,1.13,2.25,0,0,0,11.84,3.66,0,0,0,1.41,0,0,0,0,0,0.56,0,0,0
21Day,1.48,0.37,0,7.77,0,2.59,0,0.74,0,0.37,0,0.37,0,1.48,0.37,0,2.22,3.33,3.33,0,0,0,4.44,2.22,0,0,0,1.11,0.37,0,0,0.74,0,0,0,0,0.74
3Month,0,0.31,0.21,3.74,0,0,0.21,0,0.94,0.94,0,1.25,1.25,0.31,1.77,0.21,1.25,2.81,1.25,0.1,0.21,0.21,0.1,0,0.31,0.31,0,0,0.1,0.1,3.54,0.1,0,0,0.1,6.45,1.14
22Month,0,0,0,0.82,0,0,0.14,0.14,0,3.55,0.41,4.78,0.68,0.55,0.96,0.14,0.41,2.6,0.68,0,0.14,0,0.27,0,0,0.14,0.14,0.14,0.14,0,0.96,0.27,0.14,0,0,0,0.14
