stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,10.15,0,0.28,0,0,0,0,0,0,0,0.56,0,0.56,0,0,0,0,0,0,0,0,0,0
21Day,15.17,0,0.74,0,0,0.37,0.37,0,0,0,0.37,0,0,0.37,0,0,0,0.37,0.37,0,0.37,0,0
3Month,0,0.1,0,0.1,0.42,0.52,0,0,0.1,0.21,0.1,0.1,0,0,0.1,0,0,0.1,2.5,0,0,1.77,0.42
22Month,0,0.14,0,0,0.14,0.55,0,0.14,0,0.14,0,0,0,0,0.14,0.14,0.27,0,4.24,0.27,0,0,0
