stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,1.13,0,0.28,0,6.76,0.28,0,0,0.28,0,0.56,0,0.28,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0,1.48,0,0,0,0,0,0,0.74,1.85,0
3Month,0,0.1,0,0.1,0,0.1,0,0.62,0.1,0.1,0,0,0.1,0.31,0,0.21,0.21,0,0.1,0.1,0,0.31,0,0.1,0,0.1
22Month,0,0.14,0.14,0.14,0,0.14,0.14,1.78,0,0,0.14,0.14,0,0.27,0.14,0,0,0,0,0.14,0,0.41,0,0,0,0
